date,es_train,es_synth,avg_wind_speed,es_diff,generator,synth_type
1997-06-14,148.31708065854662,209.7087256277179,3.274218051611545,61.391644969171296,No_Weather,Consecutive
1997-06-15,81.7932851368582,75.92235252707661,5.067351388931294,-5.87093260978159,No_Weather,Consecutive
1997-06-16,180.57569987044457,236.2666857218398,4.77288749869914,55.690985851395226,No_Weather,Consecutive
1997-06-17,171.34577453768526,232.5281803508268,4.069376390116911,61.18240581314154,No_Weather,Consecutive
1997-06-18,102.8979868838137,112.1789049661536,4.68486597415888,9.280918082339895,No_Weather,Consecutive
1997-06-19,98.34651814169686,67.46009604084998,6.951718064645941,-30.886422100846886,No_Weather,Consecutive
1997-06-20,145.16696681899305,102.889819433604,9.096412930980756,-42.27714738538904,No_Weather,Consecutive
2021-06-01,157.0157666180151,230.2295063505756,3.3491250004205444,73.2137397325605,No_Weather,Consecutive
2021-06-02,102.63827499795295,152.09852956557125,1.807226386126259,49.46025456761831,No_Weather,Consecutive
2021-06-03,79.62560055073536,115.34579287307801,2.003666667857517,35.720192322342655,No_Weather,Consecutive
2021-06-04,70.30318330775171,67.97203741238772,4.409765276437003,-2.3311458953639885,No_Weather,Consecutive
2021-06-05,70.22230828415113,69.06301833670244,4.523813891162468,-1.1592899474486842,No_Weather,Consecutive
2021-06-06,74.08956072730965,75.85443198354756,4.6613555548919425,1.7648712562379103,No_Weather,Consecutive
2021-06-07,90.52592056974845,112.13080053592415,4.063436783709062,21.6048799661757,No_Weather,Consecutive
